"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2022","218.40","215.00","219.80","212.80","474.90K","1.58%"
"01/03/2022","215.00","216.00","221.60","213.40","398.63K","-0.65%"
"12/31/2021","216.40","222.60","222.80","216.40","621.95K","-2.96%"
"12/29/2021","223.00","218.00","223.80","217.00","372.40K","2.86%"
"12/28/2021","216.80","218.00","221.00","216.80","260.67K","-0.37%"
"12/27/2021","217.60","219.00","221.40","216.80","234.54K","-0.64%"
"12/24/2021","219.00","222.00","224.80","219.00","105.00K","-1.26%"
"12/23/2021","221.80","219.00","224.00","219.00","241.17K","1.28%"
"12/22/2021","219.00","209.20","219.00","209.20","903.83K","4.89%"
"12/21/2021","208.80","215.00","215.00","208.80","2.40M","-2.43%"
"12/20/2021","214.00","224.00","224.20","213.20","2.11M","-4.46%"
"12/17/2021","224.00","228.40","228.40","223.00","767.94K","0.45%"
"12/16/2021","223.00","223.60","228.00","222.80","1.42M","0.00%"
"12/15/2021","223.00","227.60","228.80","223.00","711.14K","-2.19%"
"12/14/2021","228.00","227.80","230.00","227.60","719.88K","0.09%"
"12/13/2021","227.80","233.00","234.80","226.00","593.52K","-2.32%"
"12/10/2021","233.20","238.80","238.80","232.60","428.28K","-2.59%"
"12/09/2021","239.40","232.00","239.40","229.00","532.78K","3.19%"
"12/07/2021","232.00","229.60","232.00","228.60","345.81K","2.20%"
"12/06/2021","227.00","223.20","231.80","223.20","803.35K","1.79%"
"12/03/2021","223.00","225.00","231.00","223.00","869.25K","-0.54%"
"12/02/2021","224.20","222.00","227.00","219.00","1.49M","1.36%"
"12/01/2021","221.20","236.00","238.00","218.80","2.33M","-5.87%"
"11/29/2021","235.00","233.00","240.00","225.00","1.63M","-3.61%"
"11/26/2021","243.80","244.60","244.80","241.40","357.87K","-0.65%"
"11/25/2021","245.40","246.00","246.60","244.00","505.87K","-1.05%"
"11/24/2021","248.00","244.60","251.00","243.20","615.08K","1.39%"
"11/23/2021","244.60","244.80","245.60","242.00","796.87K","-0.16%"
"11/22/2021","245.00","248.80","248.80","244.00","475.76K","-1.61%"
"11/19/2021","249.00","249.80","250.80","247.20","320.47K","-0.08%"
"11/18/2021","249.20","245.00","249.40","244.40","918.36K","1.38%"
"11/17/2021","245.80","245.20","246.40","243.20","649.96K","0.24%"
"11/16/2021","245.20","249.60","249.80","243.20","642.38K","-1.76%"
"11/15/2021","249.60","251.00","252.00","249.00","415.14K","-1.34%"
"11/12/2021","253.00","253.40","253.40","249.00","297.44K","-0.24%"
"11/11/2021","253.60","253.00","253.60","248.60","431.22K","-0.16%"
"11/10/2021","254.00","259.60","259.60","252.80","738.36K","-2.23%"
"11/09/2021","259.80","248.80","259.80","248.60","1.52M","4.51%"
"11/08/2021","248.60","244.00","248.80","243.80","701.86K","1.89%"
"11/05/2021","244.00","238.20","244.20","238.00","791.80K","2.52%"
"11/04/2021","238.00","232.60","238.60","231.20","436.00K","2.59%"
"11/03/2021","232.00","230.00","236.00","230.00","1.13M","1.31%"
"11/02/2021","229.00","240.40","241.20","229.00","2.08M","-2.64%"
"10/29/2021","235.20","240.40","241.20","234.00","759.74K","-2.49%"
"10/28/2021","241.20","244.20","244.60","240.00","642.37K","-1.23%"
"10/27/2021","244.20","236.20","244.20","236.20","1.38M","3.83%"
"10/26/2021","235.20","228.00","235.20","227.00","1.20M","3.61%"
"10/25/2021","227.00","225.40","229.00","225.20","467.90K","0.80%"
"10/22/2021","225.20","230.80","230.80","224.00","520.76K","-2.51%"
"10/21/2021","231.00","229.20","231.00","224.00","696.54K","1.05%"
"10/20/2021","228.60","228.00","230.00","227.00","532.41K","0.62%"
"10/19/2021","227.20","227.00","229.00","224.00","376.00K","-0.96%"
"10/18/2021","229.40","229.80","231.00","218.20","767.38K","-0.17%"
"10/15/2021","229.80","229.80","234.80","226.00","1.26M","0.00%"
"10/14/2021","229.80","219.00","229.80","219.00","2.67M","6.39%"
"10/13/2021","216.00","217.80","217.80","215.00","537.32K","-0.83%"
"10/12/2021","217.80","210.00","219.00","210.00","1.40M","4.51%"
"10/11/2021","208.40","206.00","212.40","205.40","381.41K","1.66%"
"10/08/2021","205.00","211.20","214.00","205.00","920.88K","-2.38%"
"10/07/2021","210.00","204.20","211.80","204.20","1.85M","3.35%"
"10/06/2021","203.20","203.00","206.80","200.40","730.66K","0.10%"
"10/05/2021","203.00","198.40","203.00","198.20","225.63K","2.32%"
"10/04/2021","198.40","202.00","202.00","198.40","300.62K","-1.78%"
"10/01/2021","202.00","204.80","204.80","201.20","495.52K","-1.46%"
"09/30/2021","205.00","197.00","205.00","196.20","427.19K","4.59%"
"09/29/2021","196.00","197.00","197.00","194.00","218.11K","-0.51%"
"09/28/2021","197.00","197.50","200.40","197.00","480.51K","-0.10%"
"09/27/2021","197.20","202.00","202.80","197.20","509.27K","-2.38%"
"09/24/2021","202.00","203.60","207.00","201.00","163.63K","-0.69%"
"09/23/2021","203.40","197.00","208.00","196.00","1.84M","3.83%"
"09/22/2021","195.90","192.50","197.00","192.50","302.58K","1.98%"
"09/21/2021","192.10","193.00","194.50","190.50","444.58K","-0.98%"
"09/20/2021","194.00","198.00","201.00","193.10","680.02K","-1.52%"
"09/17/2021","197.00","204.00","204.00","197.00","1.01M","-3.43%"
"09/16/2021","204.00","200.00","204.00","199.90","292.52K","2.26%"
"09/15/2021","199.50","204.20","204.20","199.40","533.76K","-2.30%"
"09/14/2021","204.20","204.80","206.00","203.20","534.50K","-0.29%"
"09/13/2021","204.80","204.00","204.80","202.40","146.44K","0.10%"
"09/10/2021","204.60","202.40","204.60","200.60","224.21K","1.39%"
"09/09/2021","201.80","200.60","202.00","200.20","141.36K","0.70%"
"09/08/2021","200.40","201.20","203.40","200.00","332.73K","0.20%"
"09/07/2021","200.00","206.00","206.00","200.00","409.26K","-2.91%"
"09/06/2021","206.00","200.80","208.00","200.60","727.15K","2.69%"
"09/03/2021","200.60","200.00","202.60","199.50","312.38K","0.20%"
"09/02/2021","200.20","195.00","201.80","195.00","419.35K","2.67%"
"09/01/2021","195.00","199.00","200.00","195.00","388.21K","-3.37%"
"08/31/2021","201.80","199.60","201.80","192.00","1.20M","1.10%"
"08/27/2021","199.60","200.00","200.00","197.80","271.81K","0.10%"
"08/26/2021","199.40","205.00","205.00","199.40","368.88K","-2.73%"
"08/25/2021","205.00","199.90","205.00","198.00","232.90K","2.55%"
"08/24/2021","199.90","196.50","199.90","196.50","320.12K","2.51%"
"08/23/2021","195.00","193.50","196.80","193.50","1.38M","0.78%"
"08/20/2021","193.50","198.40","199.90","193.50","243.33K","-2.27%"
"08/19/2021","198.00","195.00","198.00","195.00","343.16K","1.64%"
"08/18/2021","194.80","193.50","195.00","193.00","214.55K","0.93%"
"08/17/2021","193.00","188.00","194.40","187.50","553.94K","3.04%"
"08/16/2021","187.30","186.90","192.00","185.20","687.03K","2.91%"
"08/13/2021","182.00","193.00","193.00","182.00","933.55K","-6.19%"
"08/12/2021","194.00","191.50","195.50","191.10","267.40K","1.25%"
"08/11/2021","191.60","194.60","197.70","191.60","432.26K","-0.47%"
"08/10/2021","192.50","195.10","195.50","192.30","261.26K","-1.28%"
"08/09/2021","195.00","190.20","195.40","188.00","304.87K","3.45%"
"08/06/2021","188.50","189.70","191.80","188.50","371.60K","-0.58%"
"08/05/2021","189.60","193.00","194.90","189.00","294.81K","-1.51%"
"08/04/2021","192.50","195.90","195.90","192.20","312.58K","-1.74%"
"08/03/2021","195.90","188.00","195.90","187.80","449.73K","3.87%"
"08/02/2021","188.60","189.90","189.90","185.00","524.81K","-0.74%"
"07/30/2021","190.00","198.00","198.00","188.70","818.99K","-3.55%"
"07/29/2021","197.00","190.50","197.60","190.30","856.59K","3.41%"
"07/28/2021","190.50","194.50","194.50","188.50","837.55K","-2.66%"
"07/27/2021","195.70","193.80","199.50","193.10","422.55K","1.08%"
"07/26/2021","193.60","198.00","198.20","192.00","563.03K","-2.22%"
"07/23/2021","198.00","205.00","205.00","197.60","857.87K","-3.41%"
"07/22/2021","205.00","204.00","207.00","202.20","411.62K","0.49%"
"07/21/2021","204.00","210.00","210.00","201.20","1.22M","-3.13%"
"07/19/2021","210.60","209.40","211.00","202.60","1.06M","0.29%"
"07/16/2021","210.00","209.40","212.40","208.80","1.59M","0.19%"
"07/15/2021","209.60","209.60","209.80","208.80","353.25K","0.00%"
"07/14/2021","209.60","208.80","209.60","206.40","456.45K","0.38%"
"07/13/2021","208.80","209.80","209.80","205.60","294.19K","-0.48%"
"07/12/2021","209.80","203.40","210.00","203.40","271.39K","3.35%"
"07/09/2021","203.00","210.00","210.00","202.00","1.33M","-3.43%"
"07/08/2021","210.20","212.00","212.40","210.20","187.48K","-1.04%"
"07/07/2021","212.40","214.00","214.00","209.60","676.08K","-0.75%"
"07/06/2021","214.00","217.00","217.60","214.00","368.34K","-1.29%"
"07/05/2021","216.80","213.00","217.00","212.80","557.23K","1.78%"
"07/02/2021","213.00","214.60","215.40","211.60","447.13K","-0.47%"
"07/01/2021","214.00","213.60","217.40","213.00","624.86K","0.19%"
"06/30/2021","213.60","213.40","213.60","208.80","943.47K","0.00%"
"06/29/2021","213.60","215.00","215.00","212.00","503.42K","-0.93%"
"06/28/2021","215.60","215.60","215.80","212.20","337.66K","-0.19%"
"06/25/2021","216.00","211.80","216.00","209.20","485.60K","1.89%"
"06/24/2021","212.00","210.80","212.00","209.80","585.23K","0.76%"
"06/23/2021","210.40","208.40","212.00","208.40","453.39K","1.94%"
"06/22/2021","206.40","202.20","209.00","201.60","647.71K","2.08%"
"06/21/2021","202.20","200.00","205.00","197.80","652.82K","0.80%"
"06/18/2021","200.60","202.00","206.00","200.00","894.59K","-0.69%"
"06/17/2021","202.00","206.20","211.00","200.00","755.47K","-2.32%"
"06/16/2021","206.80","217.00","223.80","206.80","1.96M","-3.81%"
"06/15/2021","215.00","207.20","216.60","206.80","2.18M","3.76%"
"06/14/2021","207.20","203.00","208.40","201.80","1.04M","1.97%"
"06/11/2021","203.20","203.60","203.60","202.80","608.66K","-0.20%"
"06/10/2021","203.60","204.00","204.40","202.00","661.06K","-0.68%"
"06/09/2021","205.00","198.60","206.00","198.60","1.92M","3.27%"
"06/08/2021","198.50","196.10","198.80","196.10","557.67K","1.28%"
"06/07/2021","196.00","194.10","196.70","194.00","542.08K","1.03%"
"06/04/2021","194.00","192.50","194.70","192.50","576.48K","0.10%"
"06/03/2021","193.80","194.20","195.60","190.00","295.79K","-0.46%"
"06/02/2021","194.70","188.50","198.00","188.50","907.45K","3.29%"
"06/01/2021","188.50","192.90","193.20","188.40","712.28K","-2.28%"
"05/31/2021","192.90","191.00","194.00","188.90","1.57M","0.99%"
"05/28/2021","191.00","192.90","192.90","188.20","901.97K","-1.70%"
"05/27/2021","194.30","182.00","194.30","182.00","2.45M","6.76%"
"05/26/2021","182.00","180.20","182.40","179.80","853.03K","1.00%"
"05/25/2021","180.20","180.00","180.30","178.00","801.49K","0.28%"
"05/24/2021","179.70","177.90","180.60","176.40","994.70K","1.18%"
"05/21/2021","177.60","177.90","178.10","177.00","562.79K","0.34%"
"05/20/2021","177.00","175.40","177.50","174.80","676.58K","1.14%"
"05/19/2021","175.00","170.00","175.00","170.00","815.74K","4.60%"
"05/18/2021","167.30","167.10","169.00","167.00","529.01K","0.06%"
"05/17/2021","167.20","168.10","168.50","166.50","558.69K","-0.48%"
"05/14/2021","168.00","170.40","170.40","163.30","920.64K","-1.41%"
"05/12/2021","170.40","175.00","175.00","170.00","1.16M","-2.63%"
"05/11/2021","175.00","175.10","175.60","174.40","296.77K","-0.06%"
"05/10/2021","175.10","175.70","175.80","175.10","253.60K","-0.34%"
"05/07/2021","175.70","175.00","177.30","175.00","374.30K","-0.17%"
"05/06/2021","176.00","177.50","177.50","175.50","440.04K","-0.85%"
"05/05/2021","177.50","177.00","178.20","176.10","313.47K","0.28%"
"05/04/2021","177.00","179.00","179.50","176.50","432.07K","-0.84%"
"05/03/2021","178.50","176.00","180.00","175.90","1.50M","1.42%"
"04/30/2021","176.00","176.50","177.50","176.00","340.48K","-0.56%"
"04/29/2021","177.00","175.80","177.00","175.30","632.77K","0.68%"
"04/28/2021","175.80","174.10","176.40","174.10","357.34K","1.50%"
"04/27/2021","173.20","175.90","177.00","173.20","825.70K","-1.53%"
"04/26/2021","175.90","176.00","177.00","175.30","319.27K","-0.06%"
"04/23/2021","176.00","177.80","178.00","175.10","461.68K","-1.01%"
"04/22/2021","177.80","177.30","177.80","174.60","524.74K","0.28%"
"04/21/2021","177.30","176.20","179.30","176.20","300.31K","0.68%"
"04/20/2021","176.10","177.00","180.00","176.10","1.23M","0.06%"
"04/19/2021","176.00","180.00","181.00","175.30","522.70K","-1.95%"
"04/16/2021","179.50","180.00","180.10","179.20","180.96K","-0.28%"
"04/15/2021","180.00","182.00","182.00","179.20","630.72K","-2.12%"
"04/14/2021","183.90","180.00","183.90","179.40","353.35K","2.51%"
"04/13/2021","179.40","178.50","180.30","178.50","208.12K","-0.17%"
"04/12/2021","179.70","180.00","182.10","178.10","361.32K","0.39%"
"04/08/2021","179.00","184.80","185.00","179.00","426.47K","-3.14%"
"04/07/2021","184.80","185.00","187.50","183.10","524.07K","-0.11%"
"04/06/2021","185.00","181.40","186.00","180.80","1.06M","1.87%"
"04/05/2021","181.60","176.90","181.80","175.50","495.75K","2.66%"
"03/31/2021","176.90","176.90","178.10","176.00","424.69K","0.00%"
"03/30/2021","176.90","175.70","177.50","175.60","273.81K","0.68%"
"03/29/2021","175.70","173.50","177.30","170.70","1.70M","0.46%"
"03/26/2021","174.90","178.00","179.00","174.70","904.70K","-1.85%"
"03/25/2021","178.20","177.90","181.20","177.90","263.59K","0.73%"
"03/24/2021","176.90","180.00","180.00","172.00","3.65M","-2.27%"
"03/23/2021","181.00","176.10","181.00","176.10","1.11M","2.90%"
"03/22/2021","175.90","173.00","176.00","170.50","658.19K","-0.06%"
"03/19/2021","176.00","185.50","185.50","176.00","2.33M","-5.17%"
"03/18/2021","185.60","186.00","186.40","184.90","563.23K","0.32%"
"03/17/2021","185.00","180.20","185.00","180.20","754.48K","2.04%"
"03/16/2021","181.30","179.00","181.30","178.00","823.77K","0.72%"
"03/15/2021","180.00","181.70","181.90","176.00","1.32M","-1.04%"
"03/12/2021","181.90","181.00","183.50","181.00","475.03K","0.55%"
"03/11/2021","180.90","184.00","184.00","180.00","623.94K","-1.68%"
"03/10/2021","184.00","182.90","186.00","182.00","738.38K","0.55%"
"03/09/2021","183.00","181.20","183.00","180.00","1.13M","0.60%"
"03/08/2021","181.90","186.00","186.00","180.30","473.96K","-2.62%"
"03/05/2021","186.80","189.50","189.50","183.70","403.87K","-1.63%"
"03/04/2021","189.90","186.00","191.00","184.00","1.25M","2.10%"
"03/03/2021","186.00","185.40","186.00","184.40","948.10K","0.00%"
"03/02/2021","186.00","179.10","186.00","179.10","1.19M","4.03%"
"03/01/2021","178.80","179.90","180.20","178.80","590.93K","-0.11%"
"02/26/2021","179.00","175.00","180.20","175.00","930.45K","3.53%"
"02/24/2021","172.90","178.10","178.90","172.90","1.05M","-2.87%"
"02/23/2021","178.00","178.70","178.80","175.00","1.30M","-0.56%"
"02/22/2021","179.00","180.00","180.20","179.00","445.45K","-0.50%"
"02/19/2021","179.90","179.40","180.00","179.40","1.17M","0.56%"
"02/18/2021","178.90","179.00","182.00","178.90","802.13K","0.06%"
"02/17/2021","178.80","180.00","181.00","178.10","1.10M","-0.11%"
"02/16/2021","179.00","180.00","180.50","178.80","514.77K","-0.28%"
"02/15/2021","179.50","180.00","181.50","179.50","1.10M","0.45%"
"02/11/2021","178.70","185.60","186.80","178.70","581.65K","-3.67%"
"02/10/2021","185.50","185.00","187.00","184.90","613.75K","0.32%"
"02/09/2021","184.90","183.00","185.80","183.00","1.07M","1.04%"
"02/08/2021","183.00","183.70","184.00","182.50","767.15K","-0.54%"
"02/05/2021","184.00","181.00","184.90","180.90","1.19M","2.22%"
"02/04/2021","180.00","180.00","182.00","179.70","1.79M","0.00%"
"02/03/2021","180.00","180.30","183.00","179.90","775.81K","0.11%"
"02/02/2021","179.80","178.90","183.40","178.80","1.33M","0.56%"
"02/01/2021","178.80","177.70","179.00","177.00","604.18K","0.62%"
"01/29/2021","177.70","179.60","180.50","177.70","1.33M","-1.06%"
"01/28/2021","179.60","177.50","180.10","175.60","776.42K","1.18%"
"01/27/2021","177.50","179.50","179.80","175.60","781.78K","-1.39%"
"01/26/2021","180.00","185.60","185.60","180.00","1.29M","-3.07%"
"01/25/2021","185.70","186.50","186.60","185.40","794.61K","-0.54%"
"01/22/2021","186.70","186.90","187.60","186.00","1.02M","-0.11%"
"01/21/2021","186.90","187.40","188.10","186.50","1.10M","-0.59%"
"01/20/2021","188.00","190.00","190.40","186.00","1.07M","-1.42%"
"01/19/2021","190.70","193.90","193.90","190.70","847.48K","-1.70%"
"01/18/2021","194.00","194.10","194.10","191.00","695.29K","-0.05%"
"01/15/2021","194.10","195.50","196.30","194.10","870.67K","-1.42%"
"01/14/2021","196.90","197.00","198.00","195.50","1.12M","-1.30%"
"01/13/2021","199.50","199.00","199.50","195.10","679.01K","0.25%"
"01/12/2021","199.00","200.00","202.00","198.40","844.34K","-0.05%"
"01/11/2021","199.10","192.60","201.00","192.60","1.10M","3.43%"
"01/08/2021","192.50","192.60","193.50","192.30","720.47K","-0.05%"
"01/07/2021","192.60","194.30","194.30","192.60","802.59K","-0.93%"
"01/06/2021","194.40","194.40","194.80","190.00","565.34K","-0.26%"
"01/05/2021","194.90","194.00","194.90","192.50","513.30K","0.26%"
"01/04/2021","194.40","195.20","195.20","194.00","625.44K","-0.41%"
"12/29/2020","195.20","193.40","197.00","193.30","702.46K","0.98%"
"12/28/2020","193.30","196.00","196.30","192.70","597.46K","-2.13%"
"12/23/2020","197.50","197.50","198.70","194.00","776.75K","0.25%"
"12/22/2020","197.00","201.00","201.40","193.30","1.02M","-2.38%"
"12/21/2020","201.80","203.20","204.00","201.80","577.69K","-1.08%"
"12/18/2020","204.00","206.40","206.40","202.40","786.27K","-1.07%"
"12/17/2020","206.20","208.00","208.20","206.20","463.65K","0.00%"
"12/16/2020","206.20","209.00","209.00","206.20","1.03M","-0.39%"
"12/15/2020","207.00","207.40","209.80","207.00","1.09M","0.00%"
"12/14/2020","207.00","206.80","208.00","206.00","603.61K","0.00%"
"12/11/2020","207.00","207.80","209.60","205.00","1.17M","-0.38%"
"12/10/2020","207.80","210.80","210.80","207.80","676.19K","-1.33%"
"12/09/2020","210.60","209.00","211.00","209.00","618.32K","0.77%"
"12/07/2020","209.00","207.00","209.00","205.20","849.27K","1.26%"
"12/04/2020","206.40","204.80","207.20","202.40","1.12M","0.78%"
"12/03/2020","204.80","199.80","205.00","199.30","1.63M","2.91%"
"12/02/2020","199.00","197.00","199.00","194.30","885.05K","1.02%"
"12/01/2020","197.00","187.00","197.00","185.70","928.55K","4.23%"
"11/27/2020","189.00","189.70","194.30","189.00","1.72M","0.00%"
"11/26/2020","189.00","191.00","191.10","188.50","693.96K","-1.05%"
"11/25/2020","191.00","191.00","194.60","191.00","566.79K","0.53%"
"11/24/2020","190.00","193.00","193.00","190.00","996.58K","-1.55%"
"11/23/2020","193.00","195.00","195.00","192.20","813.11K","-1.03%"
"11/20/2020","195.00","194.00","195.00","192.00","530.82K","0.62%"
"11/19/2020","193.80","196.50","196.50","193.00","501.09K","-1.08%"
"11/18/2020","195.92","196.22","197.32","195.62","451.57K","-0.30%"
"11/17/2020","196.50","190.30","196.50","190.30","1.01M","3.31%"
"11/16/2020","190.20","193.30","195.70","189.00","1.04M","-1.55%"
"11/13/2020","193.20","196.00","196.10","192.80","1.10M","-1.68%"
"11/11/2020","196.50","200.20","200.20","196.00","1.32M","-1.85%"
"11/10/2020","200.20","198.50","201.80","196.00","2.11M","0.65%"
"11/09/2020","198.90","197.00","201.20","195.00","1.13M","1.07%"
"11/06/2020","196.80","194.40","197.00","188.10","1.76M","1.34%"
"11/05/2020","194.20","185.00","199.00","184.80","2.01M","4.97%"
"11/04/2020","185.00","175.10","185.00","175.10","1.65M","6.02%"
"11/03/2020","174.50","170.00","175.00","169.00","889.40K","2.65%"
"10/30/2020","170.00","171.60","171.60","168.00","1.01M","-1.45%"
"10/29/2020","172.50","173.50","173.50","171.60","637.43K","-1.15%"
"10/28/2020","174.50","173.20","176.40","171.60","690.54K","0.75%"
"10/27/2020","173.20","175.50","175.50","170.60","2.20M","-1.81%"
"10/26/2020","176.40","179.00","179.00","170.00","1.45M","-1.45%"
"10/23/2020","179.00","172.00","179.00","171.90","2.35M","4.99%"
"10/22/2020","170.50","170.00","177.80","168.50","2.96M","0.29%"
"10/21/2020","170.00","170.00","175.00","165.10","3.11M","0.59%"
"10/20/2020","169.00","154.60","174.00","154.60","3.94M","9.31%"
"10/19/2020","154.60","147.10","154.80","147.10","1.88M","5.17%"
"10/16/2020","147.00","146.00","147.00","145.40","380.91K","-0.14%"
"10/15/2020","147.20","146.70","147.50","146.60","389.96K","0.34%"
"10/14/2020","146.70","145.10","146.90","145.10","880.80K","0.82%"
"10/13/2020","145.50","145.40","147.50","144.30","792.55K","0.07%"
"10/12/2020","145.40","143.80","145.40","142.90","831.65K","1.11%"
"10/09/2020","143.80","143.00","144.50","142.80","746.48K","0.77%"
"10/08/2020","142.70","138.00","143.20","138.00","846.44K","3.63%"
"10/07/2020","137.70","137.80","137.90","137.20","693.56K","-0.07%"
"10/06/2020","137.80","141.00","141.30","137.80","734.57K","-2.34%"
"10/05/2020","141.10","143.00","143.00","141.10","947.68K","-1.33%"
"10/02/2020","143.00","143.50","143.80","140.50","516.19K","-0.42%"
"10/01/2020","143.60","145.00","145.00","143.00","330.26K","-0.97%"
"09/30/2020","145.00","144.70","145.00","143.20","1.42M","0.14%"
"09/29/2020","144.80","140.00","144.80","140.00","1.58M","4.10%"
"09/28/2020","139.10","138.50","139.40","138.20","465.94K","0.80%"
"09/25/2020","138.00","138.00","138.40","137.00","505.51K","0.00%"
"09/24/2020","138.00","138.30","139.00","136.60","465.71K","-0.07%"
"09/23/2020","138.10","133.00","138.50","133.00","983.00K","4.23%"
"09/22/2020","132.50","133.90","133.90","131.60","1.21M","0.45%"
"09/21/2020","131.90","132.00","134.00","131.70","544.14K","1.31%"
"09/18/2020","130.20","132.00","133.00","130.20","2.68M","0.00%"
"09/17/2020","130.20","134.00","136.00","130.20","1.57M","-2.33%"
"09/16/2020","133.30","134.80","134.90","133.20","1.38M","-1.19%"
"09/15/2020","134.90","135.00","135.50","134.50","780.19K","-0.07%"
"09/14/2020","135.00","135.50","135.50","134.80","1.72M","-0.44%"
"09/11/2020","135.60","136.00","136.00","135.00","548.66K","-0.29%"
"09/10/2020","136.00","137.60","137.60","134.20","701.32K","-0.58%"
"09/09/2020","136.80","138.00","138.10","136.00","627.96K","-0.94%"
"09/08/2020","138.10","138.10","138.20","136.10","839.82K","0.00%"
"09/07/2020","138.10","136.10","138.40","136.10","499.37K","1.54%"
